"yesterday","today","Cambio","Región","País","Casos totales","Casos últ. 7 / mil hab","Casos últ. 7 / mil hab ayer"
122,122,0,"Cajamarca","Perú","5,140.0","50.0","50.0"
123,123,0,"Santa Fe","Argentina","1,216.0","49.0","49.0"
124,124,0,"Colón","Honduras","982.0","47.0","47.0"
125,125,0,"Huánuco","Perú","5,718.0","46.0","46.0"
126,126,0,"O’ Higgins","Chile","10,289.0","44.0","44.0"
127,127,0,"Santa Ana","El Salvador","1,335.0","42.0","42.0"
128,128,0,"Atacama","Chile","2,401.0","41.0","41.0"
129,129,0,"Boyacá","Colombia","1,030.0","41.0","41.0"
130,130,0,"Esmeraldas","Ecuador","3,230.0","39.0","39.0"
131,131,0,"Guayas","Ecuador","17,576.0","39.0","39.0"
132,132,0,"Tungurahua","Ecuador","2,147.0","38.0","38.0"
133,133,0,"Huila","Colombia","908.0","37.0","37.0"
134,134,0,"Tacna","Perú","2,509.0","37.0","37.0"
135,135,0,"Valle","Honduras","1,079.0","36.0","36.0"
136,136,0,"Morelos","México","4,021.0","36.0","36.0"
137,137,0,"Araucanía","Chile","4,097.0","35.0","35.0"
138,138,0,"Yoro","Honduras","1,944.0","35.0","35.0"
139,139,0,"Imbabura","Ecuador","1,494.0","34.0","34.0"
140,140,0,"Comayagua","Honduras","692.0","34.0","34.0"
141,141,0,"Cotopaxi","Ecuador","2,121.0","32.0","32.0"
142,142,0,"Moquegua","Perú","2,517.0","32.0","32.0"
143,143,0,"Asunción","Paraguay","519.0","31.0","31.0"
144,144,0,"Chocó","Colombia","3,000.0","30.0","30.0"
145,145,0,"Potosí","Bolivia","1,470.0","29.0","29.0"
146,146,0,"Tierra del Fuego Antártida e Islas del Atlántico Sur","Argentina","457.0","28.0","28.0"
147,147,0,"Chimborazo","Ecuador","1,441.0","28.0","28.0"
148,148,0,"Morona Santiago","Ecuador","2,055.0","28.0","28.0"
149,149,0,"Sonsonate","El Salvador","933.0","28.0","28.0"
150,150,0,"Olancho","Honduras","558.0","27.0","27.0"
151,151,0,"Beni","Bolivia","5,376.0","26.0","26.0"
152,152,0,"Choluteca","Honduras","1,207.0","26.0","26.0"
153,153,0,"La Paz","Honduras","372.0","26.0","26.0"
154,154,0,"Cartago","Costa Rica","825.0","24.0","24.0"
155,155,0,"Chiapas","México","5,720.0","23.0","23.0"
156,156,0,"Puntarenas","Costa Rica","789.0","22.0","22.0"
157,157,0,"Carchi","Ecuador","923.0","21.0","21.0"
158,158,0,"Ñuble","Chile","3,479.0","19.0","19.0"
159,159,0,"Ahuachapán","El Salvador","718.0","19.0","19.0"
160,160,0,"Usulután","El Salvador","463.0","19.0","19.0"
161,161,0,"Limón","Costa Rica","481.0","18.0","18.0"
162,162,0,"Pasco","Perú","1,705.0","17.0","17.0"
163,163,0,"Tumbes","Perú","4,019.0","17.0","17.0"
164,164,0,"Quindío","Colombia","348.0","16.0","16.0"
165,165,0,"Pando","Bolivia","1,407.0","15.0","15.0"
166,166,0,"Bolívar","Ecuador","1,152.0","15.0","15.0"
167,167,0,"Tucumán","Argentina","205.0","14.0","14.0"
168,168,0,"Casanare","Colombia","306.0","14.0","14.0"
169,169,0,"Sucumbíos","Ecuador","1,186.0","13.0","13.0"
170,170,0,"Zamora Chinchipe","Ecuador","978.0","13.0","13.0"
171,171,0,"La Unión","El Salvador","517.0","13.0","13.0"
172,172,0,"Huancavelica","Perú","1,495.0","13.0","13.0"
173,173,0,"Los Ríos","Ecuador","2,864.0","12.0","12.0"
174,174,0,"La Paz","El Salvador","559.0","12.0","12.0"
175,175,0,"Orellana","Ecuador","1,336.0","11.0","11.0"
176,176,0,"Pastaza","Ecuador","1,377.0","11.0","11.0"
177,177,0,"Cuscatlán","El Salvador","443.0","11.0","11.0"
178,178,0,"San Vicente","El Salvador","385.0","11.0","11.0"
179,179,0,"Chalatenango","El Salvador","296.0","10.0","10.0"
180,180,0,"Intibucá","Honduras","314.0","10.0","10.0"
181,181,0,"Cañar","Ecuador","750.0","9.0","9.0"
182,182,0,"Santa Bárbara","Honduras","798.0","8.0","8.0"
183,183,0,"Caaguazú","Paraguay","127.0","8.0","8.0"
184,184,0,"Guanacaste","Costa Rica","565.0","7.0","7.0"
185,185,0,"Napo","Ecuador","947.0","7.0","7.0"
186,186,0,"Copán","Honduras","335.0","7.0","7.0"
187,187,0,"Morazán","El Salvador","160.0","6.0","6.0"
188,188,0,"Arauca","Colombia","213.0","5.0","5.0"
189,189,0,"Corrientes","Argentina","168.0","4.0","4.0"
190,190,0,"Amazonas","Colombia","2,510.0","4.0","4.0"
191,191,0,"Islas de la Bahía","Honduras","202.0","4.0","4.0"
192,192,0,"Los Ríos","Chile","882.0","3.0","3.0"
193,193,0,"Cabañas","El Salvador","167.0","3.0","3.0"
194,194,0,"Chubut","Argentina","275.0","2.0","2.0"
195,195,0,"Santa Elena","Ecuador","1,151.0","2.0","2.0"
196,196,0,"Lempira","Honduras","116.0","1.0","1.0"
197,197,0,"Ocotepeque","Honduras","244.0","1.0","1.0"
198,198,0,"Galápagos","Ecuador","103.0","0.0","0.0"
199,199,0,"Hermanas Mirabal","República Dominicana","237.0","0.0","0.0"
200,200,0,"Chuquisaca","Bolivia","1,944.0",NA,NA
201,201,0,"Tarija","Bolivia","3,548.0",NA,NA
202,202,0,"Amazonas","Brasil","98,118.0",NA,NA
203,203,0,"Goiás","Brasil","60,637.0",NA,NA
204,204,0,"Maranhão","Brasil","114,585.0",NA,NA
205,205,0,"Mato Grosso","Brasil","48,317.0",NA,NA
206,206,0,"Piauí","Brasil","48,962.0",NA,NA
207,207,0,"Rio Grande del Sur","Brasil","66,473.0",NA,NA
208,208,0,"Rondônia","Brasil","38,407.0",NA,NA
209,209,0,"Apurímac","Perú","858.0",NA,NA
210,210,0,"Callao","Perú","20,898.0",NA,NA
211,211,0,"San Martín","Perú","8,258.0",NA,NA
212,212,0,"Azua","República Dominicana","180.0",NA,NA
213,213,0,"Distrito Nacional","República Dominicana","3,828.0",NA,NA
